,A,B,Ratio
0, Msc Management,Management,100
1, Msc Management,Management,100
2, Msc Management,Management,100
3, Msc Management,Management,100
4, Msc Management,Management,100
5, Msc Management,Management,100
6, Msc Management,Management,100
7, Msc Management,Management,100
8, Msc Management,Management,100
9, Msc Management,Management,100
10, Msc Management,Management,100
11, Msc Management,Management,100
12, Msc Management,Management,100
13, Msc Management,Management,100
14, Msc Management,Management,100
15, Msc Management,Management,100
16, Msc Management,Management,100
17, Msc Management,Management,100
18, Msc Management,Management,100
19, Msc Management,Management,100
20, Msc Management,Management,100
21, Msc Management,Management,100
22, Msc Management,Management,100
23, Msc Management,Management,100
24, Msc Management,Management,100
25, Msc Management,Management,100
26, Msc Management,Management,100
27, Msc Management,Management,100
28, Msc Management,Management,100
29, Msc Management,Management,100
30, Msc Management,Management,100
31, Msc Management,Management,100
32, Msc Management,Management,100
33, Msc Management,Management,100
34, Msc Management,Management,100
35, Msc Management,Management,100
36, Msc Management,Management,100
37, Msc Management,Management,100
38, Msc Management,Management,100
39, Msc Management,Management,100
40, Msc Management,Management,100
41, Msc Management,Management,100
42, Msc Management,Management,100
43, Msc Management,Management,100
44, Msc Management,Management,100
45, Msc Management,Management,100
46, Msc Management,Management,100
47, Msc Management,Management,100
48, Msc Management,Management,100
49, Msc Management,Management,100
50, Msc Management,Management,100
51, Msc Management,Management,100
52, Msc Management,Management,100
53, Msc Management,Management,100
54, Msc Management,Management,100
55, Msc Management,Management,100
56, Msc Management,Management,100
57, Msc Management,Management,100
58, Msc Management,Management,100
59, Msc Management,Management,100
60, Msc Management,Management,100
61, Msc Management,Management,100
62, Msc Management,Management,100
63, Msc Management,Management,100
64, Msc Management,Management,100
65, Msc Management,Management,100
66, Msc Management,Management,100
67, Msc Management,Management,100
68, Msc Management,Management,100
69, Msc Management,Management,100
70, Msc Management,Management,100
71, Msc Management,Management,100
72, Msc Management,Management,100
73, Msc Management,Management,100
74, Msc Management,Management,100
75, Msc Management,Management,100
76, Msc Management,Management,100
77, Msc Management,Management,100
78, Msc Management,Management,100
79, Msc Management,Management,100
80, Msc Management,Management,100
81, Msc Management,Management,100
82, Msc Management,Management,100
83, Msc Management,Management,100
84, Msc Management,Management,100
85, Msc Management,Management,100
86, Msc Management,Management,100
87, Msc Management,Management,100
88, Msc Management,Management,100
89, Msc Management,Management,100
90, Msc Management,Management,100
91, Msc Management,Management,100
