,A,B,Ratio
0, Accounting and Finance  ,Accounting,100
1, Accounting and Finance  ,Finance,100
2, Architectural Design for the Conservation of Built Heritage,Design,100
3, Bachelor of Veterinary Biology / Doctor of Veterinary Medicine,Biology,100
4, Bachelor of Veterinary Biology / Doctor of Veterinary Medicine,Medicine,100
5, International Hospitality and Tourism Management,Management,100
6, MA Global Journalism,Global,100
7, MA Global Journalism,Journalism,100
8, MA Intercultural Communication and Education,Education,100
9, MA Music W3K707,Music,100
10, Mechanical Engineering with Robotics (with an industrial placement year),Engineering ,100
11, Mechanical Engineering with Robotics (with an industrial placement year),Mechanical,100
12, Mechanical Engineering with Robotics (with an industrial placement year),Industrial,100
13, MSc Electronic and Electrical Engineering H1K909,Electrical,100
14, MSc Electronic and Electrical Engineering H1K909,Engineering ,100
15, MSc Global Marketing Management,Global,100
16, MSc Global Marketing Management,Management,100
17, MSc Global Marketing Management,Marketing,100
18, Msc Management,Management,100
19, MSc Advanced Computer Science,Science,100
20, MSc Business Finance and Economics,Business,100
21, MSc Business Finance and Economics,Economics,100
22, MSc Business Finance and Economics,Finance,100
23, MSc Creative and Cultural Industries Management,Management,100
24, MSc Data Analytics,Analytics,100
25, MSc Data Analytics,Data,100
26, MSc Finance & Accounting,Accounting,100
27, MSc Finance & Accounting,Finance,100
28, MSc Finance and Accounting,Accounting,100
29, MSc Finance and Accounting,Finance,100
30, MSc Global Marketing Management,Global,100
31, MSc Global Marketing Management,Management,100
32, MSc Global Marketing Management,Marketing,100
33, MSc Human Resource Management,Management,100
34, MSc Human Resource Management with CIPD Pathway,Management,100
35, MSc International Management,Management,100
36, MSc International Management and Marketing,Management,100
37, MSc International Management and Marketing,Marketing,100
38, MSc Logistics and Supply Chain Management,Management,100
39, MSc Management,Management,100
40, MSc Management (International Business),Business,100
41, MSc Management (International Business),Management,100
42, MSc Marketing Management Practice,Management,100
43, MSc Marketing Management Practice,Marketing,100
44,MSc (Eng) Environmental and Energy Engineering,Engineering ,100
45,MSc Creative and Cultural Industries Management,Management,100
46,MSc Finance and Accounting,Accounting,100
47,MSc Finance and Accounting,Finance,100
48,MSc Global Marketing Management,Global,100
49,MSc Global Marketing Management,Management,100
50,MSc Global Marketing Management,Marketing,100
51,MSc Human Resource Management,Management,100
52,MSc International Management,Management,100
53,MSc International Management and Marketing,Management,100
54,MSc International Management and Marketing,Marketing,100
55,MSc Management (International Business),Business,100
56,MSc Management (International Business),Management,100
57,MSc Marketing Management Practice,Management,100
58,MSc Marketing Management Practice,Marketing,100
59,(BEng) Sustainable Engineering,Engineering ,100
60,(Hons) Sociology & International Relations,Sociology,100
61,(MPharm) Pharmacy,Pharmacy,100
62, Bachelor of Commerce (Accounting),Accounting,100
63,1 Term of IEP + PMP + Master of Global Management,Global,100
64,1 Term of IEP + PMP + Master of Global Management,Management,100
65,2D Animation & Digital Art,Digital,100
66,5G Advanced Communications,Communications,100
67,Accountancy,Accounting,76
68,Accountancy and Business Management,Business,100
69,Accountancy and Business Management,Management,100
70,Accountancy and Finance,Finance,100
71,Accountant,Accounting,80
72,Accounting,Accounting,100
73,Accounting,Computing,74
74,Accounting  and Finance,Accounting,100
75,Accounting  and Finance,Finance,100
76,Accounting & Finance,Accounting,100
77,Accounting & Finance,Finance,100
78,Accounting & Finance ,Accounting,100
79,Accounting & Finance ,Finance,100
80,Accounting & Finance (Industry),Accounting,100
81,Accounting & Finance (Industry),Finance,100
82,Accounting & Management,Accounting,100
83,Accounting & Management,Management,100
84,Accounting and Business Management,Accounting,100
85,Accounting and Business Management,Business,100
86,Accounting and Business Management,Management,100
87,Accounting and Finance,Accounting,100
88,Accounting and Finance,Finance,100
89,Accounting and Finance (with a professional placement year),Accounting,100
90,Accounting and Finance (with a professional placement year),Finance,100
91,Accounting and Finance BSc,Accounting,100
92,Accounting and Finance BSc,Finance,100
93,Accounting and Finance ,Accounting,100
94,Accounting and Finance ,Finance,100
95,Accounting and Financial Management,Accounting,100
96,Accounting and Financial Management,Management,100
97,Accounting and International Business,Accounting,100
98,Accounting and International Business,Business,100
99,"Accounting, BBA (designated as pre-business)",Accounting,100
100,"Accounting, BBA (designated as pre-business)",Business,100
101,"Accounting, Finance and International Business",Accounting,100
102,"Accounting, Finance and International Business",Business,100
103,"Accounting, Finance and International Business",Finance,100
104,Acting,Accounting,75
105,Acting,Teaching,71
106,Actuarial Science,Science,100
107,Actuarial Science - BS (CHS),Science,100
108,Advanced Computer Science,Science,100
109,Advanced Computer Science with Big Data,Data,100
110,Advanced Computer Science with Big Data,Science,100
111,Advanced Electrical Power and Energy Systems,Electrical,100
112,Advanced Electrical Power and Energy Systems,Systems,100
113,Advanced Electrical Power and Energy Systems ,Electrical,100
114,Advanced Electrical Power and Energy Systems ,Systems,100
115,Advanced Mechanical Engineering,Engineering ,100
116,Advanced Mechanical Engineering,Mechanical,100
117,Advanced Mechanical Engineering with Aerospace,Aerospace,100
118,Advanced Mechanical Engineering with Aerospace,Engineering ,100
119,Advanced Mechanical Engineering with Aerospace,Mechanical,100
120,Advanced Mechanical Engineering with Power Plant Technologies,Engineering ,100
121,Advanced Mechanical Engineering with Power Plant Technologies,Mechanical,100
122,Advanced Pharmaceutical Manufacturing,Manufacturing,100
123,Advanced Structural Engineering ,Engineering ,100
124,Advertising and Marketing Communications,Communications,100
125,Advertising and Marketing Communications,Marketing,100
126,"Advertising, Social Media & Public Relations B.A.",Media,100
127,Aero-Mechanical Engineering,Engineering ,100
128,Aero-Mechanical Engineering,Mechanical,100
129,Aeronautical and Aerospace Engineering ,Aerospace,100
130,Aeronautical and Aerospace Engineering ,Engineering ,100
131,Aeronautical Engineering,Engineering ,100
132,Aerospace,Aerospace,100
133,Aerospace Engineering,Aerospace,100
134,Aerospace Engineering,Engineering ,100
135,Aerospace Engineering with Private Pilot Instruction,Aerospace,100
136,Aerospace Engineering with Private Pilot Instruction,Engineering ,100
